post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
EC3N,3,0,1,0,0,3,0,1,1,1,1,7,0,0,0,0,0,2,0,2,1
EC3R,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0
EC3V,2,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
EC4A,2,0,2,0,0,0,1,1,1,0,2,8,0,0,0,0,0,1,0,1,0
EC4M,1,0,1,0,0,0,1,0,0,1,2,11,0,0,0,0,0,0,0,2,1
EC4N,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
EC4R,0,0,1,0,0,0,0,0,0,0,2,9,1,0,0,0,0,1,0,0,0
EC4V,0,0,2,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0
EC4Y,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0
EH1,1,2,2,2,0,4,3,3,0,0,0,55,0,1,1,1,0,0,1,0,0
EH10,2,0,2,4,0,3,4,2,1,1,0,33,0,0,0,0,0,0,1,2,0
EH11,4,2,2,6,0,8,11,8,3,1,1,62,0,0,0,0,1,2,1,3,1
EH12,4,0,5,1,1,7,12,5,4,2,2,73,0,1,1,2,0,3,2,2,0
EH13,0,0,0,2,0,1,3,2,0,0,0,10,1,0,0,0,0,1,1,0,0
EH14,3,3,8,12,1,17,19,11,1,1,11,204,0,1,1,2,0,5,5,5,0
EH15,0,0,1,1,0,2,4,2,1,0,1,18,0,0,0,0,0,0,0,1,0
EH16,0,2,0,3,0,1,5,2,1,1,0,33,0,0,0,1,0,5,0,2,0
EH17,0,0,2,3,1,1,1,2,0,0,1,18,0,0,0,0,0,0,2,3,0
EH18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
EH19,1,0,0,3,0,3,1,2,0,0,0,16,0,0,0,0,0,3,1,0,1
